code,title,release_date,runtime,estimated_budget,estimated_income,distributor_id
0020806,Danger Lights,1927-10-05,74,,,36437899
0011716,Something to Think About,1982-09-16,78,169330,915849,22918
0054790,The Day the Earth Caught Fire,1956-05-22,98,,,170326
0001910,Sweet Memories,1967-06-03,10,,,2766264
0055402,Sanctuary,1994-11-17,90,1915000,,170318
0037034,Mademoiselle Fifi,1966-04-02,69,,,36437899
0242296,The Back Page,1976-04-05,20,,,2276869
0853096,Death of a President,1969-05-18,93,2000000,869352,547298
0109783,The Favor,1997-11-19,97,12000000,3134380,218723
0026107,Behold My Wife!,2004-07-14,79,,,22918
0084607,Rooster,1940-06-20,85,,,62027
0085891,The Man Who Loved Women,1927-07-11,110,19000000,10964200,175634
0066050,A Man Called Sledge,1969-09-12,93,,,175634
0100928,"White Hunter, Black Heart",2001-02-06,110,24000000,2000000,34052
0085255,Blue Thunder,1967-02-24,109,11000000,42313400,175634
0017480,Torrent,1986-09-09,87,250443,,58819
0024481,Queen Christina,1988-07-01,97,1114000,2887280,58819
0055304,The Pit and the Pendulum,1986-12-17,85,300000,2000000,203231
0020492,The Thirteenth Chair,1944-09-23,72,,,58819
0090103,The Sure Thing,1933-08-01,95,4500000,18135500,940527
0042848,Please Believe Me,2003-01-19,87,1055000,769000,58819
0062432,The Venetian Affair,1958-03-03,89,,,58819
0009932,"Billy Blazes, Esq.",1932-12-17,13,,,15434457
0030887,The Toy Wife,1929-05-15,96,485000,855000,58819
0120647,Deep Impact – Music from the Motion Picture,1990-10-13,121,80000000,349400000,22918
1382663,Rock Odyssey,1952-05-12,120,,,34052
0023145,The Lodger,2015-01-01,85,,,41387509
0058620,Strait-Jacket,1984-01-10,90,,2195000,175634
021140,Men Without Women,1997-05-20,77,,,10573
0337697,The Prince and Me,1948-10-11,106,22000000,37666800,22918
0250683,RAGASIYA POLICE 115,1935-09-13,163,,,28091390
0032016,There Ain't No Justice,1940-01-01,83,,,166395
0016658,The Blind Goddess,1977-11-01,80,,,22918
0022495,Trader Horn,2001-06-25,122,1300000,,58819
0038253,Wild and Woolfy,1992-03-26,7,,,58819
0024991,Cleopatra,1929-01-26,100,,,22918
0021768,Cracked Nuts,1944-10-13,65,261000,617000,36437899
0042296,Caged,1924-12-16,96,,,34052
0024176,In the Wake of the Bounty,1987-08-04,66,,,170326
0057877,Becket,1925-09-09,148,3000000,9100000,22918
0118489,Thomas Jefferson,1950-12-16,180,,,29697498
0031051,The Arizona Kid,1972-07-15,61,,,405370
0061655,The Fearless Vampire Killers,1923-04-04,108,,,58819
0092546,Amazon Women on the Moon,1939-08-07,85,5000000,548696,170326
0395531,The Ex-Wife of My Life,1943-07-14,95,8200000,6800000,34052
0023011,His Royal Highness,1920-05-16,84,,,170326
0049022,The Bold and the Brave,1985-11-27,87,,1400000,36437899
0035446,To Be or Not to Be,1974-02-11,99,1200000,1500000,174319
0098073,Penn & Teller Get Killed,1978-04-02,89,,,34052
0029864,The Amazing Dr. Clitterhouse,1998-05-25,87,,,34052
1324059,Wake Up Sid,1976-03-08,138,,,5338646
0036033,Idaho,1939-06-04,54,,,405370
0029577,Slave Ship,2014-03-17,100,,,170318
0116442,Grace of My Heart,1927-12-06,116,5000000,617632,6636914
0134630,Duets,1971-01-03,112,16000000,4739020,1475269
0067980,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1935-06-05,108,,,22918
0020887,The First Seven Years,1995-11-11,20,,,58819
0096875,Catchfire,1929-08-20,116,10000000,5008280,10953647
0022428,The Squaw Man,1964-11-29,107,,,58819
0064276,Easy Rider,1979-07-04,95,360000,60000000,175634
0041786,The Reckless Moment,1968-03-15,82,882653,717188,175634
0057071,4,1973-04-06,114,4520000,,34052
0240164,Lust for Life,1960-01-25,122,3227000,2695000,58819
0017729,Call Of The Cuckoo,1950-01-25,17,,,58819
0018396,Should Tall Men Marry?,1979-02-11,20,,,15434457
0073766,The Sunshine Boys,1994-04-16,111,,,174319
0073918,The Yakuza,1938-01-22,123,,,34052
0050109,Albert Schweitzer,1973-09-09,85,,,105410
0052278,Teacher's Pet,1982-09-29,120,,,22918
2318527,Hell Baby,2011-07-18,94,2500000,8785,31567506
0013853,Back Stage,2001-07-05,20,,,15434457
0050497,Hell Ship Mutiny,1933-09-20,66,,,405370
0022725,Broken Lullaby,1938-03-18,76,,,22918
0067610,Pretty Maids All in a Row,1968-12-05,91,,,58819
0042935,The Secret Fury,2008-06-17,85,,,36437899
0059549,Operation Crossbow,1948-07-17,115,,3700000,58819
0064357,"Gaily, Gaily",2001-06-07,107,9000000,1000000,174319
0075993,An Enemy of the People,1945-07-30,103,2500000,,34052
0880571,Monks: The Transatlantic Feedback,1954-11-18,100,,,21378493
0053946,Inherit the Wind,1966-06-04,128,2000000,2000000,174319
0064939,Satan's Sadists,1964-01-31,90,,,105410
0304711,The Order,2007-10-31,102,35000000,11560800,170318
0029842,The Adventures of Marco Polo,2000-01-17,100,2000000,,174319
0025840,Strikes and Spares,2002-04-06,9,,,58819
0032155,Young Mr. Lincoln,1970-09-11,100,1500000,,170318
0095243,Gorillas in the Mist: The Story of Dian Fossey,1969-12-03,129,22000000,61100000,34052
0018397,The Show,1995-02-19,76,,,58819
0041373,Flamingo Road,1931-05-13,94,1500000,2900000,34052
0030044,The Dawn Patrol,1962-03-19,103,500000,,34052
0042490,The Furies,1940-08-25,109,,,22918
0086671,Blue Thunder,2015-11-28,109,11000000,42313400,175634
0050306,Designing Woman,2007-08-30,118,1844000,3750000,58819
0028575,Angel,2005-09-02,91,,,22918
0084938,Young Doctors in Love,2001-03-18,96,7000000,30688900,170318
0055571,Underworld U.S.A.,1945-06-20,99,,,175634
0244970,Someone like You,1936-05-08,97,23000000,38689900,170318
0438106,The Incredible World of James Bond,1953-02-24,51,,,3236107
0027131,The Tunnel,2000-11-21,94,,,10725029
0074801,The Lindbergh Kidnapping Case,1989-11-02,148,,,21780
0089886,Real Genius,1987-03-28,108,,12952000,664762
0044509,"Come Back, Little Sheba",1920-10-11,99,,3500000,22918
0016334,Seven Sinners,2005-11-26,68,,,34052
0077318,The Chant of Jimmie Blacksmith,1938-09-22,120,1200000,1021000,31887472
0149965,Bromo and Juliet,1964-11-17,24,,,15434457
0118655,Original Soundtrack: Austin Powers: International Man of Mystery,1992-01-21,94,16500000,67700000,408368
0091326,"The Karate Kid, Part II",1954-01-12,113,13000000,115100000,175634
0061026,Star Spangled Salesman,1928-07-25,20,,,175634
0025187,Going Spanish,1983-10-05,19,,,10573
1047494,Tyler Perry's Meet the Browns,1943-07-08,108,20000000,41975400,996674
0066195,The Owl and the Pussycat,2008-12-31,95,,23681300,175634
0054740,The Singer Not the Song,1961-12-13,132,,,10725554
0070291,The Last of Sheila,1956-08-22,120,,2200000,34052
0030192,Gold Is Where You Find It,1935-04-01,94,,,34052
0095288,Heartbreak Hotel,1934-09-29,97,13000000,5500000,1475269
0120783,''The Parent Trap,1965-06-18,128,15500000,92100000,1475269
0047127,Jail Bait,1925-06-13,72,22000,,2465330
0019489,The Trail of '98,1992-06-28,87,2000000,,58819
0032983,The Return of Frank James,1938-11-10,92,,,170318
0086058,The Osterman Weekend,1923-04-02,103,,6500000,170318
0037001,Lady in the Death House,1989-04-26,56,,,1668412
0091939,She's Gotta Have It,1976-01-05,84,185000,7137500,92360
0054324,Song Without End,1956-05-25,141,,1500000,175634
0076809,Tentacles,1975-04-27,90,750000,3000000,203231
0034183,Sheriff of Tombstone,1986-11-19,54,,,405370
0055133,Man in the Moon,1926-09-03,98,,,1177232
0013386,Merry-Go-Round,1924-12-20,110,,,170326
0038733,A Matter of Life and Death,2004-06-16,104,,,2339219
0048393,AKA Confidential Report,2012-02-02,98,,,34052
0044860,The Lusty Men,1929-01-30,113,,1500000,36437899
0028401,The Trail of the Lonesome Pine,1972-08-09,102,621864,1700000,22918
0041866,She Wore a Yellow Ribbon,2008-07-18,103,,,36437899
0009494,The Phantom Riders,1971-04-18,50,,,170326
0106504,Calendar,1928-01-19,74,,,420777
0084908,Will: G. Gordon Liddy,1950-05-14,100,,,21780
0083947,Five Days One Summer,2006-11-07,96,,,34052
0080761,Friday the 13th,1996-09-05,95,550000,59800000,22918
0049476,Man in the Vault,1980-03-03,73,,,36437899
0043306,Awaara,1980-09-18,193,,,24008115
0053133,Odds Against Tomorrow,2005-10-13,95,,,58819
0035397,Sunset on the Desert,1924-07-27,54,,,405370
0081480,Seems Like Old Times,1994-12-30,100,,43995900,175634
0029808,You Only Live Once,2010-03-13,86,628138,589503,174319
0067333,Lawman,1992-06-09,99,,,174319
0053571,The Adventures of Huckleberry Finn,1937-10-22,107,1357000,2750000,58819
0040160,The Big Clock,1923-05-07,95,,2000000,22918
0050487,A Hatful of Rain,1933-03-10,109,1820000,1500000,170318
0006640,The Evil Thereof,2004-04-27,50,,,22918
0037691,Fallen Angel,1987-10-02,98,,,170318
0037462,The White Cliffs of Dover,1949-04-15,126,2342000,4045000,58819
0029844,The Adventures of Tom Sawyer,1982-01-23,91,1500000,,174319
0084489,Personal Best,1929-02-18,124,,5672310,34052
0245341,P.S. Your Cat Is Dead!,1944-09-19,92,,,12504659
0103241,What About Bob?,1994-08-26,98,35000000,63707800,1475269
0252503,Heist,1992-06-09,109,39000000,28510700,34052
0067491,Night of Dark Shadows,1970-07-23,95,900000,1400000,58819
0037849,Kitty,1984-11-21,103,,3500000,22918
0096071,The Serpent and the Rainbow,1957-03-11,98,7000000,19600000,170326
0350028,Raising Helen,1934-01-06,119,50000000,49718600,1475269
0010071,Don't Change Your Husband,1961-07-26,86,73922,292134,22918
0048973,Baby Doll,2005-02-23,114,,2300000,34052
0026276,The Devil Is a Woman,2002-10-08,76,,,22918
2344672,Kadal,1948-11-11,164,,,28523437
0045883,Hondo,1957-03-16,84,3000000,4100000,22918
0071691,The Enigma of Kaspar Hauser,1990-09-21,110,,,33138
0039416,Gentleman's Agreement,1970-05-13,118,1985000,7800000,170318
0061556,The Deadly Affair,1928-12-14,115,,,175634
0096219,Talk Radio,1945-11-12,110,4000000,3468570,170326
0041628,The Man on the Eiffel Tower,1956-05-30,87,,,36437899
0083967,Frances,2013-05-08,140,,5000000,170326
0051411,The Big Country,1954-03-07,166,,4000000,174319
0115783,Bulletproof,1922-10-11,84,,22600000,170326
0120654,Dirty Work,2014-12-15,81,13000000,10000000,58819
0029030,The Hurricane,1995-06-29,110,2000000,,174319
0101757,Don't Tell Mom The Babysitter's Dead,2004-09-19,102,10000000,25196200,34052
0434424,Undiscovered,1929-11-06,97,9000000,1082780,996674
0079278,Chilly Scenes of Winter,1926-12-01,92,,,174319
0053137,On the Beach,1996-10-01,134,2900000,,174319
0052379,War of the Satellites,2000-12-17,72,70000,,1588593
0048182,House of Bamboo,2001-06-28,102,1380000,1700000,170318
0088680,After Hours,1937-07-14,97,4500000,10600000,34052
0016142,The Mystic,1947-05-29,70,,,58819
0040820,A Song Is Born,1987-03-06,113,,2400000,36437899
0011223,Get Out and Get Under,1978-04-19,25,,,15434457
0080610,The Last Metro,1957-09-09,131,,23300000,188844
0030174,The Gaunt Stranger,1995-01-01,74,,,166395
0046969,The Fast and the Furious,1985-06-26,73,50000,250000,203231
0046094,The Moon Is Blue,1981-04-04,99,400000,3500000,174319
0029751,Wee Willie Winkie,1984-12-17,100,1000000,,170318
0037352,Tawny Pipit,1982-12-15,81,,,10725554
0055618,Whistle Down the Wind,1935-08-04,99,,,10725554
0071269,California Split,1943-10-06,108,,5000000,175634
0012304,The Idle Class,1981-05-16,32,,,10574
0009728,The Turn of the Wheel,1941-03-19,50,,,635013
0047505,The Sleeping Tiger,2011-08-11,89,,,4446974
0079100,The Electric Horseman,2000-08-13,120,12500000,61800000,175634
